After training 2.60 hours, episode: 8700.0, frames: 2.15M, average reward: 1.02
After training 2.63 hours, episode: 8800.0, frames: 2.17M, average reward: 2.57
After training 2.66 hours, episode: 8900.0, frames: 2.19M, average reward: 2.07
After training 2.70 hours, episode: 9000.0, frames: 2.22M, average reward: 1.61
After training 2.73 hours, episode: 9100.0, frames: 2.24M, average reward: 2.34
After training 2.75 hours, episode: 9200.0, frames: 2.27M, average reward: 3.81
After training 2.78 hours, episode: 9300.0, frames: 2.29M, average reward: 2.69
After training 2.81 hours, episode: 9400.0, frames: 2.32M, average reward: 3.55
After training 2.84 hours, episode: 9500.0, frames: 2.34M, average reward: 2.80
After training 2.86 hours, episode: 9600.0, frames: 2.37M, average reward: 3.29
After training 2.89 hours, episode: 9700.0, frames: 2.40M, average reward: 3.74
After training 2.92 hours, episode: 9800.0, frames: 2.43M, average reward: 1.21
After training 2.95 hours, episode: 9900.0, frames: 2.45M, average reward: 1.10
After training 2.98 hours, episode: 10000.0, frames: 2.48M, average reward: 3.32
After training 3.01 hours, episode: 10100.0, frames: 2.51M, average reward: 3.52
After training 3.05 hours, episode: 10200.0, frames: 2.53M, average reward: 3.74
After training 3.07 hours, episode: 10300.0, frames: 2.56M, average reward: 3.02
After training 3.10 hours, episode: 10400.0, frames: 2.59M, average reward: 2.39
After training 3.13 hours, episode: 10500.0, frames: 2.61M, average reward: 2.84
After training 3.16 hours, episode: 10600.0, frames: 2.64M, average reward: 1.62
After training 3.19 hours, episode: 10700.0, frames: 2.66M, average reward: 3.86
After training 3.22 hours, episode: 10800.0, frames: 2.68M, average reward: 2.40
After training 3.24 hours, episode: 10900.0, frames: 2.71M, average reward: 1.20
After training 3.27 hours, episode: 11000.0, frames: 2.74M, average reward: 1.79
After training 3.30 hours, episode: 11100.0, frames: 2.77M, average reward: 1.82
After training 3.33 hours, episode: 11200.0, frames: 2.79M, average reward: 1.66
After training 3.35 hours, episode: 11300.0, frames: 2.81M, average reward: 3.43
